treatment,timepoint,Material,description,Species,Species_rep_rel_abund,st_dev_Species_abund
NA,NA,negative_c,negative_c_, alpha proteobacterium GMD37B4,1.730305972027469e-4,3.1302412809416187e-4
UV,T6,Nylon,Nylon_UV_T6, Ruegeria sp. URN111,5.196420163823784e-4,4.995619189707128e-4
no UV,T1,PET,PET_no UV_T1, Flavobacterium sp. enrichment culture clone SA_NR2_1,0.008187890540831718,0.014181842423533146
UV,T6,PP,PP_UV_T6, Aureispira marina,0.0011950703348686665,0.0016944349650626503
UV,T6,Nylon,Nylon_UV_T6, Synechococcus sp. MBIC10598,7.407231623519858e-4,0.0010236517510072002
no UV,T6,PP,PP_no UV_T6, Flammeovirga sp. KTW-1,1.9886140285158e-4,2.937377589029126e-4
UV,T6,PET,PET_UV_T6, Cladosiphon okamuranus,0.0016219575131389088,0.0022987754136814206
UV,T6,PS,PS_UV_T6, Photobacterium sp. IAJ19,7.41131140595521e-4,6.626616559121492e-4
UV,T6,PE,PE_UV_T6, Saprospiraceae bacterium KMM 9006,5.515279501302626e-4,8.146607723797086e-4
no UV,T1,PP,PP_no UV_T1, Winogradskyella sp. PC-8,0.0020830958519537954,0.0018328865520093117
UV,T6,PS,PS_UV_T6, Rhodobacteraceae bacterium JAMH 0111,0.0010127106097932391,0.0014000318393514503
no UV,T6,Nylon,Nylon_no UV_T6, Maritimimonas rapanae,0.0023029800561927137,0.0032712849735619205
UV,T6,Nylon,Nylon_UV_T6, Myroides odoratus,3.538765568270601e-4,5.308148352405901e-4
UV,T6,PP,PP_UV_T6, Cladosiphon okamuranus,0.0012300902629690086,0.0015177668273017029
no UV,T6,PET,PET_no UV_T6, Spirochaeta sp. B,7.125593398234006e-4,0.0011038921825282332
no UV,T6,PP,PP_no UV_T6, Vibrio azureus,7.796568279782029e-4,0.0012306946724877953
UV,T6,PP,PP_UV_T6, Kordia algicida,4.854433494261128e-4,7.281650241391693e-4
no UV,T1,PP,PP_no UV_T1, Tenacibaculum jejuense,0.0066415083400745084,0.003124939350499922
no UV,T6,Nylon,Nylon_no UV_T6, alpha proteobacterium GMD37B4,0.0011697037163816827,0.0016457128027408034
NA,NA,negative_c,negative_c_, Pleurocapsa sp.,1.7732742966265346e-4,2.96455437228479e-4
UV,T6,PP,PP_UV_T6, Oleiphilus sp. HI0073,0.0010944013861802408,6.127288040640231e-4
NA,NA,negative_c,negative_c_, Loktanella sediminum,3.5137536837029273e-4,5.976581402287063e-4
UV,T6,Nylon,Nylon_UV_T6, alpha proteobacterium N2yML5,6.592140749046492e-4,9.272676905783218e-4
no UV,T1,Nylon,Nylon_no UV_T1, Lepisosteus oculatus (spotted gar),0.002498036915259703,0.002055340312553311
UV,T6,PS,PS_UV_T6, Gardnerella vaginalis 00703Bmash,6.448456817575381e-4,9.52500197029436e-4
UV,T1,Nylon,Nylon_UV_T1, Pseudochrobactrum sp.,8.363870486368094e-4,0.0012243452726668062
no UV,T6,PET,PET_no UV_T6, Ulvibacter antarcticus,0.0012511454148163808,0.0019382661421070459
no UV,T6,PET,PET_no UV_T6, Pseudoruegeria lutimaris,0.0010173566714003616,0.0010604763528143841
NA,NA,negative_c,negative_c_, Lepisosteus oculatus (spotted gar),5.023731273887038e-4,4.77952202202843e-4
no UV,T6,PET,PET_no UV_T6, Thalassococcus lentus,8.326794498508678e-4,0.0011314675544394593
NA,NA,negative_c,negative_c_, Tenacibaculum holothuriorum,1.8333900178556245e-4,3.394778658506188e-4
UV,T6,PP,PP_UV_T6, Halobacteriovorax marinus SJ,0.0017330972884763566,6.257434405926635e-4
UV,T6,Nylon,Nylon_UV_T6, unidentified marine bacterioplankton,0.0021680237272507863,0.0024159215088925727
UV,T6,Nylon,Nylon_UV_T6, Salinihabitans flavidus,3.354933590698102e-4,5.197440769762239e-4
UV,T6,Nylon,Nylon_UV_T6, bacterium AMSU,3.925481316344692e-4,5.450615941794726e-4
UV,T6,PS,PS_UV_T6, Hormoscilla pringsheimii SAG 1407-1,5.261904366272855e-4,7.601506151873898e-4
UV,T6,PE,PE_UV_T6, Aureispira sp. CCB-QB1,5.992510798397885e-4,6.711036929479737e-4
UV,T6,PS,PS_UV_T6, Kiloniella laminariae,2.3643773643773644e-4,3.395578472430561e-4
UV,T6,PE,PE_UV_T6, Saprospira sp. CNJ640,4.934723764323401e-4,7.151094120718452e-4
UV,T6,PP,PP_UV_T6, bacterium K2-12,5.851919828698346e-4,8.64385844167201e-4
NA,NA,negative_c,negative_c_, Flavobacteriaceae bacterium BSw21912,2.2585239350395372e-4,4.013502354938157e-4
NA,NA,negative_c,negative_c_, Gemmata sp. Br1-2,1.338781832112639e-4,2.677563664225278e-4
UV,T6,Nylon,Nylon_UV_T6, Rhodobacteraceae bacterium JAMH 0111,0.0017368483491590888,0.0011266043823604523
UV,T6,Nylon,Nylon_UV_T6, Muricauda pacifica,4.0563198092077456e-4,4.569795594436445e-4
no UV,T6,PET,PET_no UV_T6, unidentified marine bacterioplankton,0.0011586480037823368,0.0014348148440896842
no UV,T1,PS,PS_no UV_T1, Tenacibaculum jejuense,0.008251117810834941,0.010607034643920148
UV,T6,Nylon,Nylon_UV_T6, Leptolyngbya aff. ectocarpi LEGE 11473,8.499568856448148e-4,6.973993042625688e-4
no UV,T6,PET,PET_no UV_T6, Flexibacter sp. S4471,6.169995520915918e-4,7.278470568894861e-4
no UV,T1,PP,PP_no UV_T1, Bizionia sp. PZ-13,7.797415713649191e-4,0.0012079704480967735
UV,T6,Nylon,Nylon_UV_T6, alpha proteobacterium GMD37C8,0.0019824842084392017,0.0013490259723217687
no UV,T6,PP,PP_no UV_T6, Sphingopyxis sp. REDSEA-S23_B6,6.228088679946558e-4,0.0010787366027712022
UV,T6,PP,PP_UV_T6, alpha proteobacterium GMD37B4,6.513190477992057e-4,5.453077721814056e-4
UV,T6,PP,PP_UV_T6, Acinetobacter baumannii 3390,4.122943515673835e-4,6.387236629423449e-4
NA,NA,negative_c,negative_c_, Aquimarina spongiae,2.6189928021876205e-4,4.3965663338649827e-4
UV,T6,PP,PP_UV_T6, Erythrobacter sp. YT30,0.006798691942921422,0.0020865954402565995
no UV,T6,PET,PET_no UV_T6, Oleiphilus sp. HI0073,5.873799963409114e-4,8.353344672137565e-4
UV,T1,PP,PP_UV_T1, Aquimarina sp. EF1C-B1014,8.47376939921927e-4,0.0012153709937819026
UV,T6,PET,PET_UV_T6, Muriicola marianensis,0.0010919500453135007,8.66313044336737e-4
UV,T6,PS,PS_UV_T6, Afipia genosp. 1,0.001423474302355352,0.001661451220846341
NA,NA,negative_c,negative_c_, Flammeovirgaceae bacterium EF2C-B566,1.5178890018065035e-4,2.5573071178673e-4
NA,NA,negative_c,negative_c_, Aureitalea marina,1.4422757560282875e-4,2.489535522390022e-4
UV,T6,Nylon,Nylon_UV_T6, Ruegeria sp.,5.735194897282808e-4,6.502333001976463e-4
UV,T6,Nylon,Nylon_UV_T6, Thalassobius aquaeponti,5.849206172653817e-4,3.998490003204105e-4
UV,T6,Nylon,Nylon_UV_T6, Erythrobacter sp. MBIC3031,0.0016156854909675812,4.5988059334540446e-4
no UV,T6,PP,PP_no UV_T6, bacterium AMSU,4.128129941385792e-4,3.166636119425182e-4
no UV,T6,PP,PP_no UV_T6, Synechococcus sp. MBIC10598,1.5492690687274256e-4,2.2249683054120821e-4
UV,T6,PS,PS_UV_T6, alpha proteobacterium GMD37C8,0.0011672190021453682,4.884152201132842e-4
UV,T6,PP,PP_UV_T6, Flammeovirgaceae bacterium EF2C-B566,8.080904049492447e-4,8.35693578330999e-4
no UV,T6,PP,PP_no UV_T6, Bacteroidetes bacterium JS5,6.670335982817316e-4,4.941804020316456e-4
no UV,T6,PP,PP_no UV_T6, Polaribacter sp. KJ034,3.002105056064936e-4,2.162656038794568e-4
UV,T1,PS,PS_UV_T1, Marinobacter sp. HGLP-15,5.671676647705474e-4,5.923873057027434e-4
no UV,T1,PP,PP_no UV_T1, filamentous cyanobacterium FLK9,0.0017833027983596283,9.228611544050373e-4
no UV,T6,Nylon,Nylon_no UV_T6, Thalassococcus lentus,0.0016062677986626406,0.0019613255881507593
NA,NA,negative_c,negative_c_, Muricauda pacifica,1.8551115821308973e-4,2.456909612881395e-4
NA,NA,negative_c,negative_c_, Tenacibaculum aestuarii,1.7863223295627915e-4,2.96675800753424e-4
no UV,T6,Nylon,Nylon_no UV_T6, Coccinimonas marina,5.625810238974636e-4,8.0402909880593e-4
UV,T6,PET,PET_UV_T6, Lacinutrix sp. XMTR2C3,6.213993069817897e-4,0.00091786760627895125
UV,T1,PP,PP_UV_T1, Hydra vulgaris,0.0018656411576552135,0.001517971542856688
no UV,T6,Nylon,Nylon_no UV_T6, Roseivivax jejudonensis,9.108572823033895e-4,0.001320714842994941
NA,NA,negative_c,negative_c_, Ruegeria sp. URN111,2.3148651081553496e-4,2.858277136333478e-4
NA,NA,negative_c,negative_c_, Methylobacterium sp. MM70,0.0010004197358670826,0.0015463139127905147
UV,T6,PP,PP_UV_T6, Synechococcus sp. LEGE 07074,0.0010456865430100832,0.0014944734591032416
no UV,T6,PET,PET_no UV_T6, Kocuria rosea,6.101592471837002e-4,6.975875377894197e-4
UV,T6,PET,PET_UV_T6, Cerasicoccus frondis,6.003349236942715e-4,8.736156356959765e-4
no UV,T1,PP,PP_no UV_T1, Spongiibacterium pacificum,0.0010897164269828307,0.001493113722010071
UV,T1,PS,PS_UV_T1, Acinetobacter sp. AW 1-18,0.0016684746798857637,0.0016883917694737495
NA,NA,negative_c,negative_c_, Muricauda sp. LR3,2.466991529937726e-4,4.281096885809236e-4
UV,T6,PS,PS_UV_T6, Agarivorans albus,1.365001365001365e-4,2.3642517165832342e-4
no UV,T6,PP,PP_no UV_T6, Aquimarina sp. EF1C-B1014,4.258718581580549e-4,5.472639954380898e-4
no UV,T6,PP,PP_no UV_T6, Synechococcus sp. LEGE 07074,3.352895745753384e-4,4.7918888663754037e-4
UV,T6,PS,PS_UV_T6, Citreitalea marina,3.101754152750314e-4,4.581594519760478e-4
NA,NA,negative_c,negative_c_, Amylibacter ulvae,2.1522404557435592e-4,3.8935494819953957e-4
UV,T6,PS,PS_UV_T6, Alteromonadaceae bacterium MOLA 142,1.438126438126438e-4,2.2279358978417142e-4
no UV,T6,PS,PS_no UV_T6, Aureispira marina,6.331664076440454e-4,8.977373703557663e-4
no UV,T6,PE,PE_no UV_T6, Pseudooceanicola nitratireducens,8.495204566368149e-4,8.154798089963698e-4
no UV,T1,PET,PET_no UV_T1, Anaerolinea thermophila UNI-1,0.005192107995846313,0.00778816199376947
no UV,T6,Nylon,Nylon_no UV_T6, Epibacterium ulvae,0.0010725426342219973,0.0014626345281577137
no UV,T6,PET,PET_no UV_T6, Aureitalea marina,5.296049147336087e-4,7.706883541033778e-4
UV,T6,Nylon,Nylon_UV_T6, Bacteroidetes bacterium JS5,8.900731161976108e-4,6.34845615354294e-4
no UV,T6,PET,PET_no UV_T6, Pseudoruegeria sp. WM62,6.360273925508424e-4,5.930103340455986e-4
UV,T6,PS,PS_UV_T6, Leptolyngbya sp. PCC 7376,1.3650013650013648e-4,1.9538031270012197e-4
UV,T6,PP,PP_UV_T6, Leptolyngbya sp. PCC 7376,9.102403244293279e-4,6.600344970118985e-4
UV,T6,PP,PP_UV_T6, bacterium GUDS1130,6.582346881476753e-4,8.009199668650128e-4
NA,NA,negative_c,negative_c_, Saprospira sp. SS95-4,1.6853629597670154e-4,3.048936312605473e-4
UV,T6,Nylon,Nylon_UV_T6, Dinoroseobacter shibae DFL 12 = DSM 16493,5.775688146571473e-4,4.166233921016295e-4
UV,T6,Nylon,Nylon_UV_T6, Pelagicoccus mobilis,4.705576919956514e-4,6.888259289175745e-4
UV,T6,Nylon,Nylon_UV_T6, Saprospira sp. CNJ640,2.4847632442569147e-4,3.6007640297610883e-4
no UV,T1,Nylon,Nylon_no UV_T1, Afipia genosp. 1,0.0029042811596880274,0.0020974983300388406
no UV,T6,PET,PET_no UV_T6, Polaribacter sp. KJ034,5.012188688004693e-4,6.521497632842576e-4
no UV,T6,Nylon,Nylon_no UV_T6, Stenotrophomonas sp. LMTZ064-91,2.1186526998561765e-4,3.6696141197438723e-4
UV,T6,PE,PE_UV_T6, bacterium AMSU,4.564263960055998e-4,6.400136190010694e-4
NA,NA,negative_c,negative_c_, Kiloniellaceae bacterium EF3B-B119,1.573005429115881e-4,2.845673891765108e-4
NA,NA,negative_c,negative_c_, Erythrobacter sp. U1370-101126-SW175,4.1933622906879304e-4,7.241349344478983e-4
no UV,T6,PS,PS_no UV_T6, Cerasicoccus sp. CC-MHH0563,4.892649513613078e-4,8.474317541205006e-4
no UV,T6,PET,PET_no UV_T6, Vibrio azureus,0.00049108819366207345,8.505897024199357e-4
UV,T6,PP,PP_UV_T6, Parvularcula lutaonensis,5.036907391729619e-4,6.660843774607709e-4
UV,T6,PE,PE_UV_T6, Halobacteriovorax marinus SJ,0.00115069734711067,9.448957607253959e-4
UV,T1,PS,PS_UV_T1, Coregonus lavaretus (common whitefish),9.608195596682214e-4,6.753781822911742e-4
UV,T1,PS,PS_UV_T1, bacterium HAB3,5.588269638180393e-4,6.121642676505267e-4
no UV,T1,PS,PS_no UV_T1, Aquimarina hainanensis,0.0025282098190771607,0.0036625046299045938
NA,NA,negative_c,negative_c_, Flavobacteria bacterium SG-13,1.1460468126415706e-4,2.292093625283141e-4
NA,NA,negative_c,negative_c_, alpha proteobacterium N2yML5,1.1460468126415706e-4,2.292093625283141e-4
NA,NA,negative_c,negative_c_, Flavobacteriaceae bacterium GUDS972,1.9396734971516028e-4,3.421262465417395e-4
no UV,T6,PE,PE_no UV_T6, Saprospira sp. CNJ640,7.429156453580916e-4,5.453554724537312e-4
UV,T6,Nylon,Nylon_UV_T6, Octadecabacter sp. UDC483,0.0013236712752512786,6.211951371569564e-4
no UV,T6,PP,PP_no UV_T6, Sphingobacteriales bacterium KIY,1.1561709468115116e-4,1.7911323289479384e-4
no UV,T6,PP,PP_no UV_T6, Cladosiphon okamuranus,2.5898229208577857e-4,3.6705161559596376e-4
no UV,T1,PP,PP_no UV_T1, Oleiphilus messinensis,9.282637754344274e-4,0.0013160908894415092
NA,NA,negative_c,negative_c_, Oceanicola granulosus HTCC2516,2.6810832110780986e-4,2.831708964832958e-4
NA,NA,negative_c,negative_c_, Pseudomonas mendocina,1.2430438570314154e-4,2.23130898483967e-4
UV,T6,Nylon,Nylon_UV_T6, Phaeobacter gallaeciensis,3.2686071802745173e-4,3.704975858115258e-4
no UV,T6,PET,PET_no UV_T6, alpha proteobacterium N2yML5,4.5418511312615717e-4,6.655150159693492e-4
UV,T6,PE,PE_UV_T6, Saccharina japonica,4.934723764323402e-4,7.098056843882638e-4
no UV,T6,PE,PE_no UV_T6, Afipia genosp. 1,0.0014367601118271591,0.0019402136895008393
no UV,T6,PS,PS_no UV_T6, Maritimimonas rapanae,5.950624674764904e-4,5.990257293314909e-4
UV,T6,PP,PP_UV_T6, Deltaproteobacteria bacterium SMP-3,0.001382939712817184,0.0012901479674980417
no UV,T6,PP,PP_no UV_T6, Leptolyngbya aff. ectocarpi LEGE 11473,1.8353143569713296e-4,1.9877510606587548e-4
no UV,T1,PP,PP_no UV_T1, alpha proteobacterium GMD37C8,0.0020006355461659932,0.0022715646093115684
NA,NA,negative_c,negative_c_, gamma proteobacterium 14III/A01/016,2.1788113255675538e-4,3.810630465096873e-4
NA,NA,negative_c,negative_c_, Saprospiraceae bacterium KMM 9006,1.7271065385596464e-4,3.089542099682985e-4
no UV,T6,PE,PE_no UV_T6, Altererythrobacter sp. CC-AMWO-103A,0.001134227946120371,0.0010441116749135347
UV,T6,PP,PP_UV_T6, Pseudoruegeria lutimaris,9.79787529369871e-4,6.711825133835737e-4
UV,T6,Nylon,Nylon_UV_T6, Maritimimonas rapanae,5.750678672337612e-4,4.213850881306168e-4
UV,T1,PP,PP_UV_T1, Xanthomonas sp.,1.940534837649747e-4,3.128211641008191e-4
UV,T6,PP,PP_UV_T6, iron-reducing enrichment clone Cl-W1,4.5038517542208835e-4,4.670007933024165e-4
no UV,T6,PE,PE_no UV_T6, Pseudoruegeria lutimaris,7.96005465028787e-4,5.7322510661112e-4
UV,T6,PS,PS_UV_T6, mucus bacterium 66,3.9879696249646895e-4,5.803348233700329e-4
UV,T1,PP,PP_UV_T1, Atopobium vaginae,7.898033661964159e-4,0.001166616887107353
UV,T1,PS,PS_UV_T1, Lepisosteus oculatus (spotted gar),0.001017179346058611,5.016821549892112e-4
NA,NA,negative_c,negative_c_, iron-reducing bacterium enrichment culture clone FeC_1_G5,1.9155261140775412e-4,2.360277190343969e-4
UV,T6,PS,PS_UV_T6, Lepisosteus oculatus (spotted gar),9.590026954860051e-4,4.7393529403406406e-4
no UV,T6,Nylon,Nylon_no UV_T6, Parahaliea mediterranea,5.218142830353286e-4,7.46295596112295e-4
no UV,T6,PP,PP_no UV_T6, Erythrobacter sp. MBIC3031,3.7687749906882036e-4,3.284891876737975e-4
NA,NA,negative_c,negative_c_, Amylibacter sp.,1.4307276068019383e-4,2.5060522728897127e-4
UV,T6,PP,PP_UV_T6, Grimontia hollisae,6.872974742785555e-4,8.305615519499931e-4
UV,T6,PP,PP_UV_T6, Loktanella sediminum,8.840818282665126e-4,5.219795332964927e-4
no UV,T6,Nylon,Nylon_no UV_T6, Halobacteriovorax marinus SJ,8.642549062772628e-4,0.0012258305652862892
UV,T6,Nylon,Nylon_UV_T6, Pseudoruegeria sp. WM62,8.437637209826262e-4,3.5123220274557466e-4
UV,T6,PET,PET_UV_T6, Wenyingzhuangia gracilariae,5.582061571192348e-4,8.647692601092951e-4
no UV,T1,PP,PP_no UV_T1, Polaribacter sp. KJ034,5.693351155997822e-4,8.096721856690537e-4
UV,T1,PE,PE_UV_T1, Tenacibaculum litopenaei,0.001761676754901075,0.0018400113602689175
NA,NA,negative_c,negative_c_, alpha proteobacterium GMD37C8,3.5954409808363e-4,6.249222947927096e-4
NA,NA,negative_c,negative_c_, Schizothrix aff. septentrionalis LEGE 07164,2.3186644951071354e-4,3.978673429035298e-4
NA,NA,negative_c,negative_c_, Flavobacteriaceae bacterium DN112_6A5,1.8865317575036136e-4,3.337847192096026e-4
NA,NA,negative_c,negative_c_, Afipia genosp. 1,2.2815139761474295e-4,1.5246612418275165e-4
NA,NA,negative_c,negative_c_, Staphylococcus chromogenes,4.2291298464281304e-5,5.73197625988817e-5
no UV,T6,PE,PE_no UV_T6, Polaribacter sp. KJ034,4.180281256134486e-4,4.1020595615180044e-4
UV,T6,PP,PP_UV_T6, Reichenbachiella sp. DC003,9.212000497945971e-4,0.0013078526627325416
UV,T6,PP,PP_UV_T6, Jannaschia seosinensis,8.397136225199108e-4,6.456148553577477e-4
no UV,T6,PET,PET_no UV_T6, Thalassotalea ganghwensis,5.883425313644574e-4,8.561641414796222e-4
UV,T6,PET,PET_UV_T6, Erythrobacter sp. YT30,0.0055480827148178405,0.0048946669550271925
no UV,T6,PE,PE_no UV_T6, marine bacterium AO1-C,6.891880677813975e-4,8.678792415324027e-4
no UV,T6,Nylon,Nylon_no UV_T6, Microbacterium schleiferi,1.7519628094964535e-4,2.6279442142446797e-4
UV,T6,PP,PP_UV_T6, Grimontia indica,4.2059345111508255e-4,5.882904541040031e-4
UV,T1,Nylon,Nylon_UV_T1, Coregonus lavaretus (common whitefish),0.0019060651169986,5.820641285505683e-4
NA,NA,negative_c,negative_c_, Altererythrobacter aestiaquae,5.393886574270896e-4,9.389551313399866e-4
UV,T6,PE,PE_UV_T6, Bernardetia litoralis,2.858107932548654e-4,4.287161898822979e-4
no UV,T6,PET,PET_no UV_T6, Fulvitalea axinellae,4.2368393178688696e-4,6.563683247465171e-4
UV,T6,Nylon,Nylon_UV_T6, marine bacterium BPY-W9,3.9139490044355087e-4,5.498290976255483e-4
UV,T6,Nylon,Nylon_UV_T6, Saprospira sp. SS98-5,4.4501671781776433e-4,5.726185687859112e-4
UV,T6,PET,PET_UV_T6, bacterium 1H118,5.68738348762994e-4,8.157268148005593e-4
UV,T1,PS,PS_UV_T1, Leclercia adecarboxylata,0.0012048192771084338,0.0017038717618952954
NA,NA,negative_c,negative_c_, Photobacterium sp. IAJ19,3.593466293174911e-4,5.945249323963846e-4
NA,NA,negative_c,negative_c_, Pseudahrensia todarodis,1.7085844077521962e-4,2.4303783311917037e-4
no UV,T6,Nylon,Nylon_no UV_T6, Labrenzia aggregata,4.6474084582833944e-4,6.71378678266159e-4
no UV,T6,PP,PP_no UV_T6, Tenacibaculum sp. U1368-101106-SW106,4.3704067351375494e-4,3.219899410696097e-4
no UV,T6,PP,PP_no UV_T6, cyanobacterium SC-1,1.2949114604288929e-4,1.8765049826033466e-4
UV,T6,Nylon,Nylon_UV_T6, Tenacibaculum aestuarii,2.3278285226517308e-4,2.632308111615264e-4
no UV,T6,PET,PET_no UV_T6, Zeaxanthinibacter aestuarii,9.160217002034647e-4,6.565497088440116e-4
no UV,T6,PET,PET_no UV_T6, Pseudooceanicola nitratireducens,6.405164299287479e-4,7.519745857047042e-4
UV,T6,PP,PP_UV_T6, Thalassococcus lentus,3.4403977937256267e-4,3.750513377734022e-4
no UV,T1,PP,PP_no UV_T1, Perspicuibacter marinus,7.549878706866676e-4,0.0011324818060300015
UV,T1,PE,PE_UV_T1, Polaribacter sp. KJ034,0.0010035160895999705,9.012159504901456e-4
no UV,T1,PET,PET_no UV_T1, Candidatus Nucleicultrix amoebiphila,0.005817711700064641,0.009012760210954558
NA,NA,negative_c,negative_c_, Methylobacterium variabile,8.650590299804744e-5,1.525820708479402e-4
UV,T6,PS,PS_UV_T6, Halobacteriovorax marinus SJ,1.4868764868764868e-4,2.108936415842534e-4
no UV,T6,PS,PS_no UV_T6, Erythrobacter sp. MBIC3031,0.0012745682715455332,0.0010834542740997056
no UV,T6,PET,PET_no UV_T6, Kiloniellaceae bacterium EF3B-B119,9.428117663004269e-4,6.421194748328084e-4
UV,T6,PET,PET_UV_T6, Leptolyngbya sp. PCC 7376,4.6341643232540255e-4,6.633139700781291e-4
no UV,T1,PP,PP_no UV_T1, Oceanicola sp. MCTG156(1a),0.0011770640659155877,0.0016863806275028257
no UV,T1,PP,PP_no UV_T1, Photobacterium sp. IAJ19,0.002652591913087946,0.0036144355381695762
UV,T1,PP,PP_UV_T1, Leuconostoc mesenteroides,1.5742577374767798e-4,2.72669438551821e-4
UV,T6,PE,PE_UV_T6, Vibrio stylophorae,5.854984332808468e-4,6.705781198697491e-4
UV,T6,PE,PE_UV_T6, Leptolyngbya sp. PCC 7376,4.034962028721851e-4,3.73876095392926e-4
no UV,T6,PET,PET_no UV_T6, Burkholderia sp. HOT13,7.048706562345808e-4,0.0012208717893627105
NA,NA,negative_c,negative_c_, Aquimarina sp. NS08,9.438032574695286e-5,1.677182401162353e-4
NA,NA,negative_c,negative_c_, Bacteroidetes bacterium JS5,1.765075569238999e-4,2.888985607553208e-4
NA,NA,negative_c,negative_c_, Altererythrobacter sp. CC-AMWO-103A,2.2970929192028534e-4,2.916793560482106e-4
UV,T6,PS,PS_UV_T6, Maricaulis salignorans,1.0978712170564878e-4,1.460519960644016e-4
no UV,T6,PP,PP_no UV_T6, Lewinella cohaerens DSM 23179,2.473349657441072e-4,3.537369552740195e-4
UV,T6,PP,PP_UV_T6, Schizothrix aff. septentrionalis LEGE 07164,5.485612151814965e-4,5.382263270703168e-4
no UV,T6,PET,PET_no UV_T6, Flavobacteriaceae bacterium SA-0082,5.970091766087952e-4,8.624575083129896e-4
UV,T6,Nylon,Nylon_UV_T6, Pseudoruegeria sp. a4,3.6761030806038654e-4,4.1868310702160885e-4
UV,T6,Nylon,Nylon_UV_T6, alpha proteobacterium GMD37B4,4.6174469117514787e-4,4.1148104701222555e-4
UV,T6,Nylon,Nylon_UV_T6, Oceanicola granulosus HTCC2516,6.861507055314108e-4,4.140507870081454e-4
no UV,T1,PP,PP_no UV_T1, Tenacibaculum litopenaei,0.0011457670967883347,0.001613604729573051
UV,T1,PP,PP_UV_T1, Methylobacterium sp. MM70,0.0011089573322733601,0.0013920511158902666
UV,T6,PP,PP_UV_T6, Kiloniellaceae bacterium EF3B-B119,0.0010684854642608625,2.25184059324448e-4
UV,T6,PS,PS_UV_T6, Ponticoccus sp. SJ5A-1,5.741266538882515e-4,5.540750482572014e-4
UV,T6,PET,PET_UV_T6, Nakamurella sp. DB0629,0.00207970593925324,0.003119558908879861
NA,NA,negative_c,negative_c_, Actibacterium atlanticum,2.4659416113407905e-4,3.424910998556227e-4
UV,T6,Nylon,Nylon_UV_T6, Acinetobacter xiamenensis,0.0011213750631922422,0.0015939344288013189
no UV,T6,PP,PP_no UV_T6, Photobacterium sp. IAJ19,6.122396570902216e-4,4.586438494097288e-4
no UV,T6,PE,PE_no UV_T6, Jannaschia seosinensis,0.0013007422528848805,9.678130071809512e-4
no UV,T6,Nylon,Nylon_no UV_T6, Pseudomonas pseudoalcaligenes,1.548246203741052e-4,2.2436219034269154e-4
UV,T6,PE,PE_UV_T6, Photobacterium sp. IAJ19,0.0010051723811087157,6.185479023590322e-4
